Vserver Type,Partition Name,Vserver State,Vserver State Timestamp,Vserver IP Address,Vserver Name,Hostname,Display Name,Vserver Health,App Security,Vserver Effective State,Vserver Port
SSL,,Down,"146 days, 17h : 35m : 24s",0.0.0.0,vm8150,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,0
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.88,vm8151,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Out of Service,00h : 00m : 26s,10.82.134.17,vm8152,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.13,vm8153,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.251,vm8154,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
TCP,,Out of Service,00h : 00m : 11s,10.82.134.16,vm8155,nhqnscab5a,10.86.90.101-10.86.90.102,67,,DOWN,4447
SSL_TCP,,Out of Service,00h : 00m : 11s,10.247.216.48,vm8156,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,6514
HTTP,,Down,"146 days, 17h : 35m : 24s",10.82.134.6,vm8157,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"146 days, 17h : 35m : 24s",10.82.134.4,vm8158,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,4903
HTTP,,Down,"110 days, 08h : 25m : 27s",10.82.134.40,vm8159,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,80
SSL,,Down,"110 days, 08h : 25m : 27s",10.82.134.18,vm8160,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
SSL,,Down,"146 days, 17h : 35m : 24s",10.88.96.143,vm8161,nhqnscab5a,10.86.90.101-10.86.90.102,0,,DOWN,443
HTTP,,Down,"110 days, 08h : 26m : 45s",10.82.138.20,vm8162,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,80
HTTP,,Out of Service,"118 days, 18h : 58m : 14s",10.82.134.247,vm8163,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,80
SSL_BRIDGE,,Out of Service,"46 days, 01h : 48m : 10s",10.82.134.20,vm8164,nhqnscab5a,10.86.90.101-10.86.90.102,100,,DOWN,10550
SSL,,Down,"149 days, 20h : 46m : 07s",10.82.138.12,vm8165,nhqnscab6b,10.86.90.111-10.86.90.112,0,,DOWN,443
